,y,x1,x2
597,6.5649,2.0892,2.3422
1177,-0.3276,3.1015,2.5395
3756,4.3642,7.6027,7.6533
2384,-10.1581,5.2081,2.3108
2097,-5.907,4.7072,7.5259
1178,0.2763,3.1032,6.0615
2684,-4.1143,5.7317,1.22
3318,1.978,6.8382,7.6288
2519,-6.6274,5.4437,2.3719
150,2.7165,1.309,2.1939
2325,-7.6538,5.1051,4.5745
1565,-4.8691,3.7786,2.0385
2270,-2.3617,5.0091,6.8539
888,3.1648,2.597,4.8293
2566,-6.9614,5.5257,4.7892
1578,-2.1389,3.8013,6.9482
2646,-2.599,5.6653,1.9146
1277,-1.1453,3.276,8.4456
1812,-4.9736,4.2097,3.9881
1857,-6.7043,4.2883,8.7092
3757,9.3406,7.6044,6.5136
890,2.3566,2.6005,2.5569
3340,4.6236,6.8766,7.8261
98,1.7675,1.2182,2.4853
318,4.0543,1.6022,8.313
2310,-3.2119,5.0789,1.9111
236,5.5182,1.4591,4.8817
578,6.268,2.056,7.6149
996,-2.0032,2.7855,3.0543
1774,-3.0158,4.1434,7.8557
2000,-3.3638,4.5379,6.1785
219,3.9175,1.4294,7.2867
923,6.051,2.6581,5.3756
653,6.0933,2.1869,5.5798
3486,3.5284,7.1314,5.8748
546,4.7262,2.0001,1.3509
3823,6.1074,7.7196,3.1102
579,7.0664,2.0577,5.5048
3785,4.5015,7.6533,3.2201
2817,-0.8395,5.9638,1.0961
1033,3.1378,2.8501,7.7039
2239,-5.1801,4.955,7.6498
2935,-1.4181,6.1697,1.2043
3371,0.3959,6.9307,4.3371
1894,-6.778,4.3529,3.0735
928,5.5161,2.6669,1.2497
387,5.8683,1.7226,6.0284
1254,-0.0433,3.2358,4.105
2548,-2.0275,5.4943,6.5188
303,5.7038,1.576,7.8243
2119,-3.8405,4.7456,1.2252
221,7.9576,1.4329,5.0248
2403,-7.8639,5.2412,3.8816
2615,-3.9082,5.6112,3.9654
3793,4.6813,7.6672,6.6741
3748,6.807,7.5887,5.4105
3393,1.7739,6.9691,8.4579
2073,-10.5912,4.6653,5.0737
1298,1.0512,3.3126,5.9586
2295,-8.9814,5.0527,3.8519
2413,-2.7803,5.2587,6.3914
2415,-5.8149,5.2622,2.344
17,6.8948,1.0769,7.2047
3140,-1.6492,6.5275,3.7664
3468,2.6754,7.1,4.5571
769,4.0097,2.3894,5.6688
1070,0.929,2.9147,2.4976
2771,-4.716,5.8835,7.285
635,5.4176,2.1555,5.2133
2687,-2.7919,5.7369,7.7475
1867,-5.1447,4.3057,4.5431
1431,-7.2264,3.5448,7.3409
184,8.0219,1.3683,5.9167
3988,6.0968,8.0076,8.135
4303,3.6246,8.5573,2.5918
2363,-6.6378,5.1714,7.4508
82,4.9248,1.1903,4.4122
1312,-0.5087,3.3371,6.7893
1253,-0.5752,3.2341,4.6181
2660,-2.1231,5.6898,5.7683
2472,-12.8645,5.3617,3.0613
460,7.767,1.85,5.4664
1051,2.7378,2.8815,2.7925
1074,1.306,2.9217,5.9638
2174,-11.3133,4.8415,8.402
2671,-5.3915,5.709,3.5325
2694,-6.9826,5.7491,2.8833
3512,1.7503,7.1768,3.8572
2440,-0.2122,5.3058,5.215
2278,-6.2381,5.0231,2.0193
4183,6.9132,8.3479,5.229
1149,0.6073,3.0526,3.9078
132,3.3539,1.2776,8.3427
3102,0.047,6.4612,8.0669
4335,8.0491,8.6132,5.9341
1127,-0.1903,3.0142,4.3703
2698,-6.7791,5.7561,1.9164
1805,-3.1605,4.1975,1.7034
179,-0.1962,1.3596,8.2467
1358,-0.2501,3.4174,4.9585
1381,1.1573,3.4575,7.2536
1442,4.8571,3.564,6.4333
1519,-5.5207,3.6984,8.4945
3490,5.5616,7.1384,1.2706
2628,1.6778,5.6339,5.7439
3826,6.2609,7.7248,6.1121
1403,-0.5849,3.4959,6.3739
1944,-5.2832,4.4401,4.9166
261,3.5016,1.5027,4.0177
451,8.0856,1.8343,5.6077
3044,-0.4762,6.36,1.0978
1222,-1.5194,3.18,2.6407
3738,9.2888,7.5712,7.573
3734,5.4273,7.5643,5.3931
935,7.1398,2.6791,5.9795
2571,-4.2854,5.5344,5.9411
1975,-5.4378,4.4942,7.4735
4227,2.8014,8.4247,2.9566
1261,0.5768,3.2481,8.224
3732,6.6109,7.5608,2.2707
2612,-4.0035,5.606,8.5451
266,7.3515,1.5115,7.1908
1319,-1.017,3.3493,6.0109
4170,3.5354,8.3252,4.6705
3472,5.9151,7.107,5.1522
1201,-0.7771,3.1433,2.9688
278,4.2923,1.5324,2.5587
1475,-3.8789,3.6216,1.5272
1881,-1.5544,4.3302,5.0108
4166,2.4094,8.3182,3.1538
171,6.798,1.3456,4.0945
183,7.9957,1.3666,5.1592
1124,4.218,3.0089,6.2814
914,-0.1843,2.6424,8.0303
2001,-7.6089,4.5396,2.4295
4110,6.5966,8.2205,6.5171
3523,6.0849,7.196,5.0562
4073,4.8177,8.1559,1.775
3059,4.0236,6.3862,3.7734
4058,7.615,8.1297,5.6671
2869,-4.2341,6.0545,2.9758
1775,-2.3656,4.1452,6.271
3852,6.5411,7.7702,3.8258
3030,3.6626,6.3355,6.5415
3926,5.7479,7.8994,6.4385
2049,-6.6609,4.6234,5.7701
2350,-5.0457,5.1487,2.2637
